time,AE,AL,AM,AO,AR,AT,AU,AZ,BA,BD,BE,BG,BH,BJ,BN,BO,BR,BW,BY,CA,CD,CG,CH,CI,CL,CM,CN,CO,CR,CU,CY,CZ,DE,DK,DO,DZ,EC,EE,EG,ER,ES,ET,FI,FR,GA,GB,GE,GH,GR,GT,HN,HR,HT,HU,ID,IE,IL,IN,IQ,IR,IS,IT,JM,JO,JP,KE,KG,KH,KP,KR,KW,KZ,LB,LK,LT,LU,LV,LY,MA,MD,ME,MK,MM,MN,MT,MU,MX,MY,MZ,NE,NG,NI,NL,NO,NP,NZ,OM,PA,PE,PH,PK,PL,PT,PY,QA,RO,RS,RU,SA,SD,SE,SG,SI,SK,SN,SR,SS,SV,SY,TG,TH,TJ,TM,TN,TR,TT,TW,TZ,UA,US,UY,UZ,VE,VN,YE,ZA,ZM,ZW,
2013-01-01 00:00:00,16140.623495217174,757.4865585796957,667.4672032013785,1214.2995886818514,25204.670505140988,9072.979416580683,33425.016187634654,2182.8396954338323,1409.1062160345095,7066.71111435766,9941.014284190916,4435.36569252569,3659.735866640899,174.76006590567226,626.0155869394704,1506.3640323932225,100177.93940711649,588.313140155868,3712.9100745685128,83036.69420535109,1072.7015358345516,215.50393138479245,8001.190443232718,1026.3339239531304,12273.536629186612,1054.5642660996791,1098057.26282431,12149.650462361718,1767.7910617038528,3336.54604205835,444.3005543716152,8091.042117758692,63196.45533747588,3712.775423655933,3076.980329821491,9606.752759053774,4219.46183749521,1135.3035423768702,23382.73241749226,56.1119093111764,29842.7192667116,1581.9084038906308,10092.842321152466,53145.97130136853,398.3586470195339,38184.82083926754,1159.7000880518397,1721.1965918175604,6063.791431890833,1962.4994758620016,1470.4063374421464,1942.0429111605436,179.53296633240882,4852.599356556934,34345.835005755034,3275.4835208505765,8180.996741287559,164493.22535449397,12291.381870277624,44632.67433702991,2380.513608536605,33267.40979071249,706.4057597524429,2894.557562020765,158286.01457824043,1341.542977001962,1686.0078120074888,913.611708132998,2871.7012146266247,98799.4796301888,8726.538392060538,14265.739564488857,2512.849388997712,1838.1793598741824,1238.8115339636263,980.480442987508,694.735964417446,4646.096182008395,5475.407536609237,624.5022484994586,370.33960770689976,804.9863433219311,2216.852997972054,1157.8247051100698,238.29974564128617,489.52755780635687,48938.93029801655,22805.73220814333,1861.107871015413,142.95863510884973,3759.6098254732183,802.3497823546526,12400.581906357267,15074.5767241036,817.3580635208498,5503.938488677054,4228.124258664808,1815.8266412191915,8540.881824485396,13180.986046322903,13081.662887905788,17620.587569356383,6203.368308390484,2916.5625179152557,5218.367141423123,6362.96992043757,3958.992422297829,131207.38206620677,41282.13590903827,1600.406031160422,16140.702808086216,7473.836613613982,1664.025449120552,3201.852521358737,558.9810879040862,293.00408966793657,59.30270300619049,1245.4255700533313,2348.860506878042,166.344482720334,23928.64420942318,1826.8089379204864,2353.235216775776,2568.083814916032,29469.78037645973,1746.6758049071098,39468.10579021522,907.5645947495184,17354.1555323571,680747.233700734,1942.0513382765157,7002.022644245183,16515.980591454227,19899.2451271894,658.1158479578687,33663.73586877664,1673.5958711078354,1149.5823322590184,581.5772897067732
2013-01-01 01:00:00,17423.984557266514,732.9132170544294,712.5274784085823,1240.1898535286718,24914.32055730587,9069.513180005722,33784.05168382342,2301.6668923473044,1390.8341755785566,7838.208648672136,9777.701693410065,4420.27773064027,3681.5195962218336,181.6272412609147,627.6687980890355,1432.6923531437085,102370.75539204106,581.5727420579573,3733.6800829126505,82783.11415616945,1062.8045702338543,222.33980860652105,7966.608310362071,993.908748694104,12054.62410332524,1068.08289288453,1130455.1226133867,12164.767275870776,1801.8452544815373,3300.736221606367,440.7632297163787,7960.507239302494,61740.8789638032,3640.65310308046,2956.083987898402,8956.236968871608,4224.733834753404,1134.4839464804115,23185.589252554048,56.69260190030731,28814.427613405656,1590.0240075600243,10101.820192730796,52049.52952527828,407.4400475826339,36662.35448057693,1261.4822262936984,1672.3546569052935,5949.154181630252,1971.8868908166503,1473.0878114653929,1936.552478276208,177.95801224899705,4814.952439997728,36906.66627010175,3063.825341070423,8108.880799869034,182573.07957465868,12414.41102881653,46537.25991486115,2360.794932335748,32030.723863779796,688.8452564767383,2912.497295124437,162101.91431872986,1353.351350239153,1795.84587233467,969.50256681959,2904.2198324229,98108.5382130057,9113.081176984351,14786.302055149388,2491.4765657745675,1956.1991219035183,1232.3723214146323,968.7395335603476,698.3794859722383,4485.611091388937,4950.2167327182815,623.4815954849335,367.7055078677954,779.1140292329575,2415.9404125600704,1164.506911697627,234.75632933876224,499.5101748834202,49137.88420309375,23027.79393342397,1863.6407169349852,143.0313553487829,3851.185307321915,776.9055267461661,12139.240389261542,14972.185337559553,884.7291156518835,5503.938488677054,4488.111847502013,1830.2670341361445,8551.056556089063,13713.484656227844,13676.247582415912,17385.983055322948,5741.901652497592,2828.951398841833,5453.236962385751,6344.308320676256,3916.7308640837928,143691.3289206239,41250.06529188778,1606.6752623052218,15856.31845383339,7671.12846986997,1645.1113085436723,3197.319656968985,549.4428103669848,269.98892436536,61.834838357576594,1214.8053197766424,2343.3113577122926,166.23724871335986,26754.00464458929,2044.6450266014735,2537.529277625868,2517.033588827993,29293.273141062728,1581.926467435748,39936.90132184507,963.1242020020048,17277.247946746575,674603.3282812401,1912.187568679773,7377.2880108182835,16531.455317537548,21743.97651999242,665.618836794526,33373.49837471509,1684.4314539593947,1155.8041197448315,573.1409900562602
2013-01-01 02:00:00,17975.465644404594,730.1264050924218,818.3163336608818,1231.1270057662448,24265.14474650409,9089.89410137359,33810.65674088118,2602.477908712235,1383.5507548113317,8575.318718462035,9754.813132888365,4443.452083169654,3894.616472526849,184.19449595862355,636.4065789255723,1286.7891977943498,96655.71896786377,573.5313709893486,4200.6667726753085,82264.86882255442,1074.805816351693,224.23593367818268,7955.367142517486,1006.8740095913702,11571.129291367106,1076.2195928240726,1139821.0883686163,12015.073036796855,1809.993649675388,3149.685806469921,440.7632297163787,7954.515727006839,61639.3726908996,3628.4159585391167,2738.797323873624,8987.331317725228,4229.459099447152,1135.9834880080607,23283.424285597688,62.09746383232749,28666.263009793565,1645.0510497917858,10055.047713518576,51848.22720448683,404.249337559198,35777.2445385264,1456.0096538317823,1666.4535496455894,6040.980766491141,1977.3983952327253,1471.0907199404803,1927.819551387582,165.26874359742922,4793.765189715711,38056.54778068976,2980.5336868149243,8243.08282219006,198019.92432014525,13577.44638635534,52027.17706138038,2354.5993418058733,31708.348536746656,653.2965728512589,3060.9837715215904,164213.9903157215,1475.4250279551918,1787.1101168884531,1059.348970085185,2880.4422483285643,98099.29046823966,10391.43347986788,14667.619991310015,2491.4765657745675,2118.308356635775,1241.4452102663374,969.2189280834956,704.8305682675621,4466.857753787596,4794.097929188528,630.9136408432317,368.6380066606851,774.2678863742383,2541.243914019723,1141.5276948273536,233.18749476899083,511.0681071065439,49322.18911440566,23558.65613567877,1898.1345544000224,142.7962674470341,3896.6649169576326,746.1363107023595,12109.418966883122,14952.488252038373,964.3298370886276,5510.026246946104,4640.761564303955,1621.648697614483,8498.673192282353,14099.785371399432,15151.281004909091,17320.43732975922,5518.869597516291,2783.129902209706,5892.226272394819,6362.487437908352,3886.164628252892,149469.26205957925,42731.43830229322,1824.8255526890305,15835.136906631067,7687.332034940934,1647.9745478495593,3185.775518536452,559.052200526437,269.95992995490724,64.55684844094516,1202.4063888559208,2392.5918649459345,171.55129106315724,29574.13844736972,2152.1104735724603,2687.949388811085,2518.843481630538,29307.95427586131,1447.4655137106183,39867.47860281883,1100.7602178670004,17295.836484937397,647518.0410771257,1746.4573563764998,7826.86900722436,17233.48085810284,23298.43940126512,718.9491453940705,33373.49837471509,1704.1621789940782,1160.072704430486,569.2188154216063
2013-01-01 03:00:00,19621.84702548769,731.7028573046767,870.52190737128,1246.2569592705045,22331.379630375195,9147.112903852836,34365.54119836502,2915.6820617529597,1387.4530920212771,8855.255377652864,9773.880622630692,4604.997461507807,3950.4849408932896,194.2266652188622,639.9833793405182,1132.3842901824462,87160.92590224417,641.1828554457792,4955.652357699481,81885.11694753931,1249.829368398893,228.83935178564911,7980.642811309145,1014.1609840797356,10715.15491344872,1092.5331261935642,1158418.3173942163,11417.172378678357,1801.87226383135,2947.62124045297,449.7474986376736,8020.666686195287,61639.3726908996,3647.125193976405,2582.121716519902,8926.494548229017,4066.43653292728,1157.2863246995655,24588.534724786445,68.19064996736897,28637.176573510507,1694.9652650942226,10226.507047130624,51848.22720448683,404.249337559198,35779.429344850505,1603.4661193820589,1679.0986821104475,6315.032611609611,1912.7604090084744,1379.7778868362743,1931.639748840253,148.77682689397943,4803.033500396508,37550.11855621011,2955.532635511256,8844.11009233361,205667.97855615095,14212.92213926101,54580.90124311082,2356.671888104124,31708.348536746656,611.301678949819,3228.270852759293,164134.827869967,1558.2977080502228,1780.424951326603,1086.8531347084408,2843.0772661356737,97973.01459978182,11098.110388442106,14913.036119344504,2535.500668162864,2142.7482510695404,1370.095165643222,977.0777122110094,781.415491994153,4466.857753787596,4808.782274627287,666.2407766322754,372.8898866167175,776.2709737686764,2536.921182288134,1144.3967721682334,238.64403762178645,541.1375093970304,50226.48512004352,23652.322070927014,2138.6801794508237,144.98136670933718,3974.473516096246,685.1027982163542,12115.589781327331,15069.001616206297,996.8804330149268,5534.116948254217,4870.491231972813,1516.6844898781378,8015.11911791093,14092.709815981863,16367.986795161994,17421.832245951005,5456.82544656997,2319.1403185606923,6039.910011476208,6745.851566248215,3886.164628252892,154482.47963442947,43309.22008961903,1906.01605324804,15850.893196395558,7684.594982005975,1651.1627089640224,3209.5153296497374,561.3718156597379,218.69926286887755,64.57733787483322,998.1283258336904,2594.400099659956,173.03758893256642,30429.49327719566,2204.690675723988,2758.237056801979,2548.3696429366105,29232.548845965604,1379.556921012669,39771.826872537735,1108.6375450570374,18434.77171033751,616426.8024914411,1629.417557140209,8065.243715737279,16582.591063486696,24021.20017485897,761.9651687610038,34373.48478871583,1905.046529230275,1298.766289000536,612.8692275830889
2013-01-01 04:00:00,21415.78718353357,743.3895386925665,862.7783586926982,1406.8501259490629,21001.189996949342,9683.37109792059,34365.54119836502,3150.220677484904,1485.7464977703817,9011.353776156602,10430.777496363502,5185.26273787219,4391.975467223328,218.40163957667048,642.9129667452626,1108.419858172061,83485.35214788798,637.1831511933084,5095.236192339986,80368.37899908127,1275.096316591237,258.5663250979724,8339.69669603007,1027.8771486366272,9887.378152645368,1239.7619333938708,1166756.3799605663,11010.864803671022,1730.7210164194216,2842.2995225241443,482.97638588597823,8590.918246512638,64320.67307812106,3863.671489485023,2130.1530733309414,9505.080824619366,3918.0656981953935,1269.8297384776374,25438.52063930865,72.73272042635291,28761.67404486313,1718.261617239819,11066.842712581622,54261.90545578247,412.962812020215,35832.118043860806,1668.042815028445,1777.062297628668,6900.895934401378,1769.1920936870742,1220.3181700273226,2054.330563390945,130.00205271193977,5018.605092040781,37530.51643885691,2973.5616607663046,9746.606295331389,209128.08361647133,15018.554186874422,55919.24808524185,2381.7400820381454,33127.587705748614,588.5094340401025,3476.1657367459907,164040.68994749183,1649.4130993156034,1798.8275838871,1089.0542528807591,2841.374309146655,98043.15384340077,12343.848409838669,14639.29481371807,2744.257333366096,2216.604553485241,1643.3909907882355,1039.7335584246653,945.1858605869196,4642.390000687278,4864.442394130363,767.0713222151429,399.6813471241432,804.9021105989818,2547.771911243384,1141.477049047768,246.05809226880552,569.0003909778897,49413.479864546,23670.191574261866,2157.623370791218,165.26936732792458,4514.085474028719,622.9578665384182,12653.479943201286,15681.97683489103,1010.5448575342348,5522.2782245629405,4671.926226112437,1474.9225141341542,7531.781939741482,14072.835196079608,17317.01326439983,18752.8107397222,5456.82544656997,2107.3160810687687,6582.11193944711,7614.233886130512,4048.747587667256,152999.14827356016,44685.77015051316,2009.210247837989,16205.939305309968,7745.60047832813,1746.986099164575,3354.163421653874,567.413235107796,225.14629848928809,63.789781424524456,893.0672193956673,2823.0955527314104,176.9636955921493,30466.79659159646,2212.69480203436,2815.3356070984887,2779.501993241847,30376.36044783116,1165.8526650821548,39726.85275521006,1174.8360355252332,20678.20875118132,573767.576286774,1539.2966038207016,8210.738148913433,16525.386146376113,24032.065871479663,813.3327673073201,35875.47951029186,1972.5232164699776,1331.850161793506,613.947400548766
2013-01-01 05:00:00,21645.129967852943,810.3755381583769,835.1889235265211,1427.745122043565,19534.253738134263,10324.735859969962,34365.54119836502,3262.017851477294,1744.4719061765966,9026.058881550904,11507.46205766371,5615.372695855638,4824.983533675668,218.36347564831837,641.0286449283094,1014.3076256636276,82887.88142642441,695.0376897542056,5234.758952421326,77733.20093990093,1371.5087459891324,259.29238517031683,9046.91734284092,1177.3596043380653,9489.095391823888,1275.168093950397,1168278.369314337,10404.778663038174,1722.4373829208353,2197.689670005792,548.376129754106,9989.474078274308,73118.71973685123,4401.221236445715,2144.20247268219,9848.514643436476,3736.8661430788297,1329.7501032407552,29052.622935694064,76.85701101489163,31155.19668859473,1825.4750543873777,11667.5442735296,62407.69071562251,411.92118848165006,37870.09334272762,1683.053275309661,1998.0507620327423,7608.675168510917,1613.37175698258,1068.9759510374192,2358.101128759361,118.7152719402595,5756.014300206456,37475.455795743714,3112.542653732964,11301.033624514625,209546.43716345972,16204.013605978593,55938.04004774526,2474.485067848598,39552.995311280974,459.9979686153978,3703.083105904133,163130.78887826292,1760.7753980395814,1779.8871972985276,1091.3326746487785,2824.2527894411837,97324.682676059,12571.995457973891,14596.422029071016,3001.109388696343,2268.289730339194,1692.4781266028826,1119.770358186507,992.7873279473636,5185.016802201828,5362.987920538773,846.206290231723,457.63516175404845,936.6041818854676,2674.727788496324,1139.1353193686632,260.8393655999007,593.8041867422951,48004.202189201766,23846.616015867865,2396.19117355004,171.14825758983957,4547.888945187513,538.8996393976223,14478.678924279398,16761.877678172055,1011.5174030739402,5538.3817773127175,4655.652470487817,1315.2014440822647,6574.947726686366,14074.659458845965,16869.277588620862,21457.06930019528,5495.973471231299,2024.069275423219,7100.456959219755,8234.087225781575,4654.258188588821,148893.68691005395,44187.13650498648,1943.5602541224605,17864.638998943235,7750.115777707459,2016.3196666480524,3803.260029437057,641.8967602859722,226.98152757477263,65.95509762427237,808.2292410285368,2920.807975536092,200.76275262864056,30932.813124818917,2185.329081838311,2830.5671255015773,2870.234269682693,32840.79524005276,1158.8745487378062,39827.53204399006,1274.6864001599977,21729.83129366124,539320.0232509351,1497.812206944924,8285.832360936118,12847.00644669308,24031.883876037704,846.9727718148819,37454.50677579643,2141.1081843283514,1428.2811843782754,648.6216883167845
2013-01-01 06:00:00,21921.79468468756,902.1936472081652,853.1993361777826,1570.1276511749777,19089.97295543866,10963.322558671058,33838.962741700125,3349.4901861095987,1902.902989550665,8996.138695181635,12437.197760586883,5831.244144187145,5072.819551167668,236.96099701227124,641.3206090898836,998.2124904301836,82545.24523528137,750.23617158111,5189.431795484003,70895.63475535838,1513.5287599123726,273.7191306931054,9632.01376377172,1185.0474030704972,9358.581530660564,1362.586054929503,1172222.028892757,9291.232133727315,1449.7971521288057,2159.8885273867454,601.0326406634532,10829.386778067426,81484.92104176516,4863.362383830523,2168.842822523364,10429.45523925415,3388.4159562773407,1350.3899132011318,31008.187262292777,78.63741890842576,34875.71423214191,1927.573635169149,11988.448311877664,68801.30612398361,438.86241593557247,45298.11377098774,1693.313196410373,2029.0151475847413,8444.09834417795,1526.3340026237345,952.1745932493671,2549.001452463899,116.74596105914456,6241.162682972666,37427.95475180109,3816.253350204879,11955.75065279905,209546.43716345972,16280.221624333188,56321.02059448836,2604.629924631956,43637.57669713228,452.0766855059243,3768.888288628594,163585.5837272283,1845.1135075715604,1775.2071455932996,1096.5828572459454,2831.6914424787224,97484.37851615818,12372.010633437863,14571.404002537289,3242.425412983186,2266.470019212866,1724.634947126198,1221.250076713533,1014.8566323058016,6119.434386236333,5638.357992261249,858.5521196358669,470.4748396416088,1025.4124949754532,2671.3057665794126,1139.1353193686632,283.52710088754606,596.7349517214384,44025.33534449391,23830.37564868866,2574.428054821121,190.41494935484923,4929.396859496381,481.1415641271954,15976.88745134333,17607.912519457033,1014.6617944508696,5506.787574110985,4793.217829109758,1339.9146054368114,6236.630235094366,14074.659458845965,16831.110517648634,22589.64647836849,5822.664075764553,1940.9935488403837,7294.846115556651,8461.516954763423,5031.553282679264,148900.84422735483,47839.11551889157,1962.1713386200013,19180.801602162104,7750.14223970812,2179.7718614470205,4108.133956307293,673.1583443742709,227.64336562747548,69.4518862834243,727.803813415223,3134.526852942062,207.49173920765213,30883.23468066249,2183.646902129133,2831.0252060238745,3084.593875345652,35902.505419433495,1166.2709518881793,39827.53204399006,1333.324135402086,22680.97427200248,505525.4478912528,1481.1752976152557,8293.537030303605,12709.395266971458,24031.369170178416,890.2866812337747,40931.71089429395,2357.315761521268,1560.9934945633695,727.6220528499578
2013-01-01 07:00:00,22155.38946502565,995.034879528952,852.526074115041,1701.657618962064,19089.97295543866,11220.075655430022,33529.54887067926,3333.017499683295,1999.608691214653,8984.10758873147,13228.677958303562,5897.1429805634025,5157.379504220236,251.00099858126364,631.9220595010988,984.0010116507666,82096.43601460602,777.1516630014286,5079.534854825276,69764.15319139873,1529.9210098681838,300.80871722255824,9898.699017847068,1253.6751198954655,9358.581530660564,1486.5370939377506,1180379.2841805336,8744.1346614449,1377.8187673233222,2149.811203263347,625.761420352773,11111.692441588464,86225.10832634915,4893.379443089076,2168.5549000658834,11480.1656119681,3209.7855769208877,1329.08139064977,33443.32600959324,79.19796741756704,38704.847538026974,1962.4776874047525,11805.88698518464,73136.93864390405,475.2258866054968,49330.86490314863,1698.7517036106767,2191.7462986219866,8891.312676981972,1385.8555200127405,939.763817086047,2626.941143780273,117.9972590106293,6430.25481300916,37427.95475180109,4089.9020677885,11510.896334533229,209030.5521003173,16826.824316494083,56124.02374386908,2714.4135149176777,45958.19106122569,449.79022119004406,3845.917096841867,165060.40129453634,1857.1361509588207,1774.0946882646067,1097.0207115132343,2878.8100665916863,98734.23111412712,12882.072778145484,14562.23181418291,3387.460517804072,2263.7436321261484,1706.621720927047,1258.1537516174074,999.6186888578532,6654.899435706904,5859.434045629382,869.9241927854821,474.944243954564,1082.77707037724,2688.562617572085,1139.1353193686632,296.7435731238762,598.7303895328092,41127.878345223326,23830.37564868866,2673.419895930273,207.7076784632709,5298.315454851204,466.02663565968425,17039.54350632209,17758.425395306138,1009.254811282156,5397.985279568597,4815.485448209706,1367.7444306788443,6283.332812305481,14074.659458845965,16730.705600311594,22916.00627599856,6243.30877810973,1972.9995790617745,7493.164613287916,8638.639782612492,5301.7926464426255,148628.23197724912,46048.27126655628,1961.1812195511727,19789.303651001377,7711.028756532193,2238.7402336390523,4238.968357309269,739.9425114147866,239.3482990218814,75.45946451830783,704.8314323499011,3172.625527452439,216.42874403839548,30883.23468066249,2178.093078223642,2829.212254820383,3267.885998118306,38125.13362985165,1183.068045183288,39871.8523136395,1355.081814532473,22758.36536795703,486595.0718444086,1496.595700066969,8293.537030303605,12910.55889250951,24031.369170178416,897.9121108702778,43339.971579867815,2417.729330074717,1629.3214024268032,753.2713120849309
2013-01-01 08:00:00,22272.62763523923,1025.6067090411998,845.5014156058456,1768.4180237988833,19225.3932234974,11274.0861541566,33728.681299361415,3304.466060179803,2025.3006478879172,9031.21368234089,13377.591902123391,5813.437336681403,5150.242849377104,258.548129402436,640.9345651316073,1000.625206098813,83579.54687382648,859.1021023976692,5064.395610287261,69546.24659790697,1580.92183161283,312.2771741553625,9911.462301334328,1368.3260001313442,9376.166255561206,1540.616241780542,1233762.8987598629,8562.306139444107,1358.213044250056,2172.217020206955,611.7578412015714,11110.862145722112,87292.17240893237,4995.094851740535,2199.0059103473573,11764.99493164172,3146.372777068901,1336.3072864509495,32584.03869684516,78.76983363632176,40380.78067243506,1969.740815013182,11866.135801108288,74491.46613979597,510.7059043074957,50502.75889460866,1653.6537971776638,2356.32906077602,8933.015785224305,1350.7606927881504,947.4472324626204,2650.048510244185,119.94865402209896,6487.594745117084,37109.39477683242,4201.430983590778,11252.385460381229,209278.47842846604,15891.595460330347,55874.20118352967,2802.21860442433,47555.651870828144,447.4479552690356,3823.9726342005943,169206.75494559508,1857.8150447455605,1774.0946882646067,1155.237498976349,3026.906411509496,101776.08898590764,12139.469233933189,14560.46325246851,3365.2695792232903,2270.7404703238462,1700.6633564007386,1250.153048137704,1005.1190746152624,6597.023792359409,6220.142832076961,880.0538929446463,461.1797619148168,1090.731191605455,2783.2878803965177,1145.1959309923875,310.2193280256992,598.7303895328092,39619.65741882112,23846.69653330554,2711.328597021484,215.0233399319449,5533.824415617656,473.2175385282949,17377.88307476056,17825.975177000433,1010.7635729052976,5260.744318407319,4808.856656392618,1363.209400939353,6255.931291504207,14055.68927950578,16183.5208047983,22696.988725724368,6594.18811960134,2049.826060411369,7508.148148296194,8666.170311446196,5433.164143393468,148306.60569347537,46647.11414443336,1971.996921823575,19456.481086386604,7756.771852940202,2257.03135703608,4298.363650588846,806.9069736321495,251.90705576062544,78.13088318548536,716.6529602978915,3152.665591728425,237.74889728413413,30813.19169787659,2175.8939447447274,2828.295548117037,3326.590403490272,38203.82841433478,1266.8090447837624,40047.23369965857,1395.2967078791614,22842.62751957324,472542.5202583938,1574.630791923545,8272.645476625008,12847.379543471912,24031.369170178416,905.5859605117682,44107.1867826186,2428.5929173617355,1654.2696581559833,803.8554632240889
2013-01-01 09:00:00,22313.472364924837,1053.0635896611598,844.9730475306745,1817.9317029898973,19818.28989892284,11154.987787667456,33549.04154264281,3296.740674826105,2049.0267168206856,9104.437001560886,13332.620838335431,5804.185105035445,5150.242849377104,269.0835282809571,649.2869650624677,1098.000664091484,88834.86574279166,866.5697477681247,5051.611876925057,69706.19917501566,1591.3288178965631,317.172243775325,9900.109623186248,1446.0588623912377,9710.123631385435,1543.2839587167828,1274750.9102293046,8532.727056247933,1378.580009565561,2309.9567834444742,593.1936346251798,11002.397524909971,87167.59404928064,5013.263322985843,2416.566810374771,12513.812946304952,3128.108638366852,1334.9026017072565,32632.99363165329,78.58302429807134,41081.40540394555,1973.4098106454933,11863.312656118376,74948.72439751068,521.3180442053945,51499.562356751085,1649.9895741586042,2490.0886735080044,9001.246199417112,1354.3046854909865,954.8391255657764,2636.066363840723,126.71988049586984,6513.302445403324,36741.275535599045,4350.496832727082,11259.639226154412,210861.65825856727,15891.595460330347,55836.038234468135,2862.848420115172,47841.98534935323,483.9449342488162,3846.78001243377,169894.9448233338,1853.7443173249835,1775.8366096106597,1151.6158374842744,3059.6904365013006,101776.08898590764,12089.061868856208,14575.8714012974,3360.948090256403,2260.8641349365976,1699.4145817027213,1240.2442913541454,1003.39131357594,6695.078288682881,6428.292702631602,878.907783891747,459.1170675415746,1104.0782445584853,2773.9968161357024,1202.0712629195448,315.84852743520145,594.8740556244721,39299.84514563747,23853.886740489987,2722.11514351097,215.7577530442173,5546.916599780823,478.0233399503862,17384.443536837698,17968.600948083156,1020.045320230844,4923.019071208073,4808.656207940921,1359.9976536341587,6255.931291504207,14186.071769716653,16162.896008840797,22918.81945804126,7036.699969743995,1996.0487882534976,7502.663966871578,8679.987736136478,5520.090480057575,148306.60569347537,47348.25123218699,2042.5631706416516,19517.397995255425,7828.126637720584,2259.036257654121,4270.162535680121,826.7605575014737,255.8592962581342,83.83640591698303,718.4807985610244,3255.6807924420864,243.9414049988269,31183.799281994365,2175.8939447447274,2828.273176108205,3500.086807892658,38245.68867057908,1378.3897765990328,39986.90741556138,1405.7161426007146,22820.134663663004,471672.3022269876,1626.1424216388932,8272.645476625008,13312.842192394392,24198.42961118144,904.254822459764,44257.22418977687,2430.503086568984,1651.1179817568443,804.2956452233557
