,country,country_long,name,gppd_idnr,capacity_mw,latitude,longitude,primary_fuel,other_fuel1,other_fuel2,other_fuel3,commissioning_year,owner,source,url,geolocation_source,wepp_id,year_of_capacity_data,generation_gwh_2013,generation_gwh_2014,generation_gwh_2015,generation_gwh_2016,generation_gwh_2017,generation_gwh_2018,generation_gwh_2019,generation_data_source,estimated_generation_gwh_2013,estimated_generation_gwh_2014,estimated_generation_gwh_2015,estimated_generation_gwh_2016,estimated_generation_gwh_2017,estimated_generation_note_2013,estimated_generation_note_2014,estimated_generation_note_2015,estimated_generation_note_2016,estimated_generation_note_2017,geometry
16780,JPN,Japan,Okumino,WRI1000704,1500,35.7387,136.6709,Hydro,,,,,Chubu,Japanese Electric Power Information Center,https://www.jepic.or.jp/en/,GEODB,1012319,,,,,,,,,,4409.91,3605.44,5669.16,4388.07,3679.99,HYDRO-V1,HYDRO-V1,HYDRO-V1,HYDRO-V1,HYDRO-V1,
16781,JPN,Japan,Okuniikappu,WRI1020233,44,42.6741,142.6779,Hydro,,,,1963,HOKKAIDO ELECTRIC POWER CO INC,Hokkaido,https://web.archive.org/web/20140310212140/http://www.hepco.co.jp/english/environment/pdf/report2008.pdf,WRI,1018581,,,,,,,,,,121.21,95.19,160.57,118.36,95.19,HYDRO-V1,HYDRO-V1,HYDRO-V1,HYDRO-V1,HYDRO-V1,
16782,JPN,Japan,Okutadami,WRI1000728,560,37.1529,139.2504,Hydro,,,,,EPDC,Japanese Electric Power Information Center,https://www.jepic.or.jp/en/,WRI,1014509,,,,,,,,,,1389.98,1172.66,1882.26,1225.91,1150.44,HYDRO-V1,HYDRO-V1,HYDRO-V1,HYDRO-V1,HYDRO-V1,
16783,JPN,Japan,Okutataragi,WRI1000710,1932,35.2406,134.8617,Hydro,,,,,Kansai,Japanese Electric Power Information Center,https://www.jepic.or.jp/en/,GEODB,1020443,,,,,,,,,,5555.35,4025.11,6594.86,5431.16,4025.11,HYDRO-V1,HYDRO-V1,HYDRO-V1,HYDRO-V1,HYDRO-V1,
16784,JPN,Japan,Okuyahagi Daini,WRI1000705,780,35.195,137.4627,Hydro,,,,,Chubu,Japanese Electric Power Information Center,https://www.jepic.or.jp/en/,GEODB,1012321,,,,,,,,,,2258.5,1605.35,3144.42,2252.37,1555.83,HYDRO-V1,HYDRO-V1,HYDRO-V1,HYDRO-V1,HYDRO-V1,
16785,JPN,Japan,Okuyoshino,WRI1000712,1206,34.1178,135.8211,Hydro,,,,,Kansai,Japanese Electric Power Information Center,https://www.jepic.or.jp/en/,GEODB,1020444,,,,,,,,,,3541.82,2653.48,4500.26,3623.01,2732.77,HYDRO-V1,HYDRO-V1,HYDRO-V1,HYDRO-V1,HYDRO-V1,
16786,JPN,Japan,Omarugawa,WRI1000719,900,32.2478,131.3735,Hydro,,,,,Kyusyu,Japanese Electric Power Information Center,https://www.jepic.or.jp/en/,GEODB,1043356,,,,,,,,,,2320.36,1599.55,3182.41,2262.7,1677.24,HYDRO-V1,HYDRO-V1,HYDRO-V1,HYDRO-V1,HYDRO-V1,
16797,JPN,Japan,Oshirakawa,WRI1020237,59,36.1412,136.8212,Hydro,,,,1963,,Suiryoku,http://www.suiryoku.com/gallery/gifu/miboro2/miboro2.html,WRI,,,,,,,,,,,171.88,136.71,253.95,173.94,135.66,HYDRO-V1,HYDRO-V1,HYDRO-V1,HYDRO-V1,HYDRO-V1,
16803,JPN,Japan,Otori,WRI1000735,182,37.2147,139.2139,Hydro,,,,,EPDC,Japanese Electric Power Information Center,https://www.jepic.or.jp/en/,GEODB,1014512,,,,,,,,,,522.66,452.03,696.95,458.82,451.02,HYDRO-V1,HYDRO-V1,HYDRO-V1,HYDRO-V1,HYDRO-V1,
16826,JPN,Japan,Sakuma,WRI1000730,350,35.0908,137.8047,Hydro,,,,,EPDC,Japanese Electric Power Information Center,https://www.jepic.or.jp/en/,GEODB,1014517,,,,,,,,,,935.63,750.75,1152.69,885.38,758.93,HYDRO-V1,HYDRO-V1,HYDRO-V1,HYDRO-V1,HYDRO-V1,
